item_id,promptid,stage,is_fallback,A,B,C,ECS,final
IT0001,232,ThirdLevelReviewer,False,1,1,0,1.0,1
IT0002,217,ThirdLevelReviewer,False,1,1,1,1.0,1
IT0003,293,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0004,230,ThirdLevelReviewer,False,1,1,0,1.0,1
IT0005,294,ThirdLevelReviewer,True,1,1,1,0.3,1
IT0006,275,ThirdLevelReviewer,False,0,0,2,1.0,0
IT0007,224,ThirdLevelReviewer,False,0,1,0,1.0,0
IT0008,241,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0009,291,ThirdLevelReviewer,False,1,2,2,1.0,2
IT0010,303,ThirdLevelReviewer,False,1,2,2,0.75,2
IT0011,282,ThirdLevelReviewer,False,3,2,2,1.0,2
IT0012,283,ThirdLevelReviewer,False,1,1,1,1.0,1
IT0013,254,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0014,267,ThirdLevelReviewer,False,1,1,1,1.0,1
IT0015,297,ThirdLevelReviewer,False,1,1,1,1.0,1
IT0016,278,ThirdLevelReviewer,False,0,1,0,1.0,0
IT0017,238,ThirdLevelReviewer,False,3,3,2,0.8,3
IT0018,296,ThirdLevelReviewer,False,2,1,0,0.8,1
IT0019,281,ThirdLevelReviewer,False,3,2,2,0.8,2
IT0020,225,ThirdLevelReviewer,False,1,2,2,0.0,2
IT0021,274,ThirdLevelReviewer,False,0,2,2,0.83,2
IT0022,227,ThirdLevelReviewer,False,0,0,2,1.0,0
IT0023,308,ThirdLevelReviewer,False,2,4,2,0.5,2
IT0024,249,ThirdLevelReviewer,False,2,2,2,1.0,2
IT0025,292,ThirdLevelReviewer,False,2,3,2,0.15,2
IT0026,295,ThirdLevelReviewer,False,1,0,3,1.0,1
IT0027,287,ThirdLevelReviewer,False,1,2,2,0.75,2
IT0028,236,ThirdLevelReviewer,False,0,0,0,0.85,0
IT0029,235,ThirdLevelReviewer,False,0,0,0,0.98,0
IT0030,263,ThirdLevelReviewer,False,3,4,3,0.3,3
IT0031,245,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0032,253,ThirdLevelReviewer,False,0,1,1,1.0,1
IT0033,219,ThirdLevelReviewer,False,1,1,1,0.0,1
IT0034,256,ThirdLevelReviewer,False,0,1,1,1.0,1
IT0035,250,ThirdLevelReviewer,False,2,2,2,0.9,2
IT0036,270,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0037,299,ThirdLevelReviewer,False,1,1,1,1.0,1
IT0038,285,ThirdLevelReviewer,False,0,1,1,1.0,1
IT0039,223,ThirdLevelReviewer,False,1,2,2,1.0,2
IT0040,228,ThirdLevelReviewer,False,3,4,2,0.3,3
IT0041,271,ThirdLevelReviewer,False,1,2,2,1.0,2
IT0042,248,ThirdLevelReviewer,False,0,1,0,0.8,0
IT0043,276,ThirdLevelReviewer,False,3,4,2,0.4,3
IT0044,306,ThirdLevelReviewer,False,0,2,2,0.83,2
IT0045,264,ThirdLevelReviewer,False,0,1,0,1.0,0
IT0046,243,ThirdLevelReviewer,False,4,3,2,0.3,3
IT0047,234,ThirdLevelReviewer,False,3,2,2,1.0,2
IT0048,290,ThirdLevelReviewer,False,0,1,1,1.0,1
IT0049,300,ThirdLevelReviewer,False,0,1,2,1.0,1
IT0050,301,ThirdLevelReviewer,True,3,3,3,0.3,3
IT0051,242,ThirdLevelReviewer,False,0,0,2,0.95,0
IT0052,260,ThirdLevelReviewer,False,3,3,2,0.2,3
IT0053,233,ThirdLevelReviewer,True,0,0,0,0.3,0
IT0054,258,ThirdLevelReviewer,False,0,1,1,1.0,1
IT0055,284,ThirdLevelReviewer,False,0,1,2,1.0,1
IT0056,220,ThirdLevelReviewer,False,3,0,0,0.9,0
IT0057,226,ThirdLevelReviewer,False,0,2,2,0.67,2
IT0058,218,ThirdLevelReviewer,False,3,2,2,1.0,2
IT0059,304,ThirdLevelReviewer,False,0,1,0,1.0,0
IT0060,261,ThirdLevelReviewer,False,0,2,0,1.0,0
IT0061,222,ThirdLevelReviewer,False,0,0,0,0.99,0
IT0062,305,ThirdLevelReviewer,False,1,2,2,0.5,2
IT0063,273,ThirdLevelReviewer,False,1,2,2,1.0,2
IT0064,246,ThirdLevelReviewer,False,0,1,1,1.0,1
IT0065,252,ThirdLevelReviewer,False,3,0,0,0.8,0
IT0066,298,ThirdLevelReviewer,False,3,2,2,0.8,2
IT0067,265,ThirdLevelReviewer,False,1,1,1,1.0,1
IT0068,239,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0069,237,ThirdLevelReviewer,False,1,3,1,0.6,1
IT0070,255,ThirdLevelReviewer,False,1,2,2,1.0,2
IT0071,268,ThirdLevelReviewer,False,0,1,2,1.0,1
IT0072,229,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0073,286,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0074,269,ThirdLevelReviewer,False,3,3,3,0.9,3
IT0075,279,ThirdLevelReviewer,False,1,2,2,1.0,2
IT0076,262,ThirdLevelReviewer,False,0,1,1,1.0,1
IT0077,231,ThirdLevelReviewer,False,3,4,3,0.85,3
IT0078,251,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0079,289,ThirdLevelReviewer,False,1,2,2,0.0,2
IT0080,247,ThirdLevelReviewer,False,0,4,2,0.0,2
IT0081,221,ThirdLevelReviewer,False,3,3,3,0.6,3
IT0082,257,ThirdLevelReviewer,False,1,2,2,0.67,2
IT0083,244,ThirdLevelReviewer,False,0,1,1,1.0,1
IT0084,259,ThirdLevelReviewer,False,1,2,2,1.0,2
IT0085,307,ThirdLevelReviewer,False,0,0,2,1.0,0
IT0086,240,ThirdLevelReviewer,False,0,1,0,1.0,0
IT0087,266,ThirdLevelReviewer,False,3,2,2,0.83,2
IT0088,272,ThirdLevelReviewer,False,0,1,0,1.0,0
IT0089,309,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0090,288,ThirdLevelReviewer,False,0,1,1,1.0,1
IT0091,302,ThirdLevelReviewer,False,0,0,0,1.0,0
IT0092,280,ThirdLevelReviewer,False,0,1,0,0.8,0
IT0093,277,ThirdLevelReviewer,False,0,0,0,1.0,0
