promptid,stage,judge,digest,seed,num_ctx,FCD,FGR,FDF,ECS,clamped,approx_tokens,latency_s,attempts
0,front,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,1.0,1.0,0.0,0.5,0,825,10.39,1
0,second,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.5,0.0,0.0,0.5,0,283,5.53,1
0,third,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.67,0.0,0.0,0.5,0,126,4.93,1
1,front,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.85,0.6,0.0,0.4,0,598,6.58,1
1,second,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.75,0.5,0.0,0.5,0,362,5.42,1
1,third,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.5,0.25,0.0,0.5,0,167,4.78,1
2,front,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.83,0.95,0.0,0.0,0,859,6.92,1
2,second,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.67,0.0,0.0,0.5,0,286,5.64,1
2,third,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.5,0.0,0.33,0.0,0,137,4.98,1
3,front,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.85,0.95,0.0,0.6,0,945,7.45,1
3,second,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.75,0.5,0.0,0.5,0,317,5.72,1
3,third,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.67,1.0,0.0,0.33,0,132,4.95,1
4,front,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.85,0.15,0.0,0.4,0,768,6.44,1
4,second,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.75,0.0,0.0,0.25,0,355,5.61,1
4,third,gemma4:12b,4eb23ef187e2c5462566d6a1d3bbbc2f1346d0b4327cbb66d58fffbcc9b2b05c,20260801,16384,0.75,0.0,0.0,0.25,0,122,5.03,1
