promptid,stage,judge,digest,seed,num_ctx,FCD,FGR,FDF,ECS,clamped,approx_tokens,latency_s,attempts
0,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,825,6.19,1
0,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,283,2.08,1
0,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.5,0,126,1.85,1
1,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.88,0.0,1.0,0,598,2.67,1
1,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.67,0,362,2.13,1
1,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,1.0,0,167,2.0,1
2,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.8,1.0,0.2,0.5,0,859,3.42,1
2,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,1.0,0,286,2.15,1
2,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,137,1.85,1
3,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.25,0.5,0,945,3.66,1
3,second,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.5,0.75,0,317,2.11,1
3,third,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,1.0,0.0,0.5,0,132,1.93,1
4,front,llama3.1:latest,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,20260801,16384,0.75,0.88,0.0,1.0,0,768,3.08,1
