promptid,stage,judge,digest,seed,num_ctx,FCD,FGR,FDF,ECS,clamped,approx_tokens,latency_s,attempts
0,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.85,0.1,0.5,0,825,6.97,1
0,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.5,0.0,0.5,0,283,2.4,1
0,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,126,2.23,1
1,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.67,0.0,0.5,0,598,2.94,1
1,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.67,0.0,0.5,0,362,2.44,1
1,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,167,2.18,1
2,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.83,0.0,0.5,0,859,3.55,1
2,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,286,2.42,1
2,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,137,2.21,1
3,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.85,0.1,0.5,0,945,3.88,1
3,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.0,0.5,0,317,2.36,1
3,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.0,0.5,0,132,2.12,1
4,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,768,3.41,1
4,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,355,2.43,1
4,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,122,2.2,1
5,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.6,0.0,0.5,0,796,3.31,1
5,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.5,0.0,0.5,0,291,2.41,1
5,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.5,0.5,0.0,0.5,0,110,2.02,1
6,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.75,0.0,0.5,0,949,3.83,1
6,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,358,2.48,1
6,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,154,2.22,1
7,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.85,0.75,0.0,0.5,0,1172,4.54,1
7,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,341,2.48,1
7,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.25,0.0,0.5,0,112,2.21,1
8,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,757,2.93,1
8,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,403,2.48,1
8,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.33,0.0,0.5,0,173,2.24,1
9,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.67,0.0,0.5,0,775,3.66,1
9,second,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.67,0.75,0.25,0.5,0,297,2.47,1
9,third,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.75,0.5,0.0,0.5,0,133,2.24,1
10,front,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,20260801,16384,0.85,0.75,0.1,0.5,0,953,4.49,1
