promptid,subset,front_FCD,front_FGR,front_FDF,front_ECS,front_OSR,front_cache_hit,front_len_words,front_sha256_12,second_FCD,second_FGR,second_FDF,second_ECS,second_OSR,second_cache_hit,second_len_words,second_sha256_12,third_FCD,third_FGR,third_FDF,third_ECS,third_OSR,third_cache_hit,third_len_words,third_sha256_12,evaluator_substituted
0,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,0,424,19cdaf38998b,0.45,0.3,0.2,0.9,0.3,0,127,00d07085dd89,0.6,0.35,0.1,0.85,0.05,0,46,d71a9fe028cd,0
1,realistic,0.55,0.25,0.15,0.8,0.15999999999999998,0,313,84cfc93f969e,0.65,0.3,0.1,0.9,0.42,0,175,b0e02793be85,0.7,0.35,0.05,0.95,0.15999999999999998,0,71,eeeea7c3aeac,0
2,realistic,0.55,0.45,0.15,0.8,0.19999999999999998,0,452,6b129c190c99,0.65,0.5,0.2,0.9,0.36,0,125,f80f2cbbfe45,0.7,0.55,0.1,0.95,0.05,0,52,14bc80857532,0
3,realistic,0.25,0.5,0.0,0.0,0.05,0,516,75855bab37dd,0.33,0.67,0.0,0.25,0.36,0,155,92e3df106426,0.4,0.8,0.0,0.5,0.05,0,57,f0f4f7cf0663,0
4,realistic,0.5,0.5,0.2,0.2,0.19999999999999998,0,367,57c2dc43083a,0.45,0.45,0.25,0.25,0.36,0,161,e469f611ae06,0.4,0.4,0.3,0.3,0.05,0,40,7092a612880b,1
5,realistic,0.5,0.25,0.0,0.0,0.15999999999999998,0,391,9ebb2cafd334,0.75,0.4,0.1,0.2,0.36,0,135,4f4b616270e3,0.6,0.3,0.05,0.15,0.05,0,39,463c6e31750e,0
6,realistic,0.55,0.45,0.0,0.0,0.09999999999999999,0,524,02a97e6e03cb,0.65,0.5,0.2,0.1,0.42,0,174,354b11d889b1,0.7,0.4,0.0,0.05,0.06,0,61,403319fa03e1,0
7,realistic,0.5,0.5,0.2,0.2,0.06,0,640,cc6f93f64af7,0.45,0.45,0.25,0.25,0.5,0,170,2d4b4f7fe1da,0.4,0.4,0.3,0.3,0.05,0,41,7e0dec0a48f8,1
8,realistic,0.55,0.25,0.15,0.8,0.26,0,370,68e13c3cd8ab,0.65,0.3,0.2,0.9,0.42,0,187,ad05ae9c7b5d,0.7,0.35,0.1,0.85,0.05,0,73,83106009cd8e,0
9,realistic,0.55,0.45,0.0,0.0,0.15999999999999998,0,412,f9ae745e926c,0.65,0.35,0.1,0.2,0.36,0,141,218b968cdef6,0.8,0.15,0.0,0.05,0.19999999999999998,0,51,e08ceb41d4d7,0
10,realistic,0.75,0.25,0.0,0.5,0.42,0,519,3d015bbc22b3,0.8,0.2,0.0,0.6,0.26,0,107,df99f41728ab,0.85,0.15,0.0,0.4,0.05,0,47,ee36aca71d54,0
11,realistic,0.55,0.25,0.15,0.8,0.5,0,339,b002e9b87f96,0.4,0.3,0.2,0.9,0.42,0,123,039edb821b06,0.6,0.35,0.1,0.95,0.05,0,62,3c84948d245b,0
